Steps,Episodes,Time,Reward
20,0,4.76837158203125e-07,-500.0
20190,18,1.5825011730194092,-500.0
45054,48,3.163745403289795,-380.6
63070,88,4.3810875415802,-78.4
66914,99,4.646754026412964,-91.6
71418,111,4.95639443397522,-90.8
75948,126,5.2503180503845215,-79.2
79860,139,5.521737575531006,-89.7
84110,155,5.81804633140564,-80.0
88330,171,6.094317436218262,-97.9
93042,189,6.420669794082642,-89.5
97310,205,6.718758583068848,-83.3
101282,221,6.995112180709839,-112.7
106710,241,7.361663579940796,-85.4
110670,257,7.642303228378296,-91.3
115192,276,7.950690746307373,-86.4
119436,296,8.238755464553833,-87.3
123626,317,8.533530473709106,-83.5
127832,336,8.81236481666565,-83.7
131718,352,9.097074747085571,-76.6
135520,370,9.35640549659729,-83.2
139610,390,9.642370700836182,-84.4
143586,408,9.917623281478882,-90.8
147944,429,10.221269845962524,-81.5
151846,445,10.493140935897827,-86.4
156034,462,10.779690742492676,-77.6
159606,476,11.035742998123169,-83.3
164066,495,11.32992434501648,-76.6
167844,510,11.596100091934204,-80.0
172026,526,11.874792098999023,-95.7
176688,546,12.193729162216187,-78.8
180506,560,12.469146966934204,-81.9
184362,574,12.740931749343872,-87.3
188386,591,13.026534795761108,-97.1
192848,608,13.34684157371521,-110.6
198282,630,13.710718154907227,-81.6
202250,648,13.980907201766968,-85.0
206620,666,14.27027153968811,-87.2
210790,682,14.569766521453857,-85.9
214990,700,14.863743543624878,-83.2
219014,717,15.136992931365967,-78.6
222830,733,15.3997323513031,-97.7
227706,753,15.726567029953003,-83.3
231800,771,16.014745235443115,-91.3
236250,792,16.31336283683777,-83.1
240068,810,16.587291479110718,-84.2
244154,827,16.868576765060425,-82.4
248402,846,17.15290880203247,-87.4
252570,864,17.439838647842407,-98.3
257294,885,17.764731407165527,-81.4
261058,901,18.033802270889282,-96.9
265800,923,18.357588052749634,-91.6
269728,938,18.65648341178894,-80.1
274054,957,18.925865173339844,-78.1
277682,972,19.19107151031494,-80.7
281840,991,19.46707320213318,-84.9
285860,1008,19.74802017211914,-80.2
289830,1025,20.01672911643982,-86.5
293948,1044,20.30678963661194,-82.7
298148,1063,20.592077255249023,-83.2
302130,1079,20.86772608757019,-88.3
