Steps,Episodes,Time,Reward
0,0,1.1920928955078125e-06,-519.1081806654638
2880,10,0.3533473014831543,-780.858879394788
23415,110,0.8126380443572998,-779.052719066723
51938,217,1.5274839401245117,-974.3885798054419
82222,312,2.3260180950164795,-733.575768472958
128156,403,3.6720337867736816,-688.4537035736669
189690,468,5.913516998291016,-183.9820766455375
332292,614,10.792976140975952,-91.56365813323727
458016,759,15.02883505821228,-103.39575318628654
563604,901,18.638065576553345,-83.63719274305785
694652,1085,22.96342182159424,-85.60354819101227
784888,1228,25.719965934753418,-107.71545994787061
859448,1334,28.188980102539062,-69.69200926166666
979312,1507,32.07902479171753,-103.1120630367097
1055106,1621,34.50197744369507,-51.52192872001899
1140390,1728,37.41418123245239,-60.28579385819103
1229958,1838,40.3761830329895,-26.035676869481893
1346378,1992,44.12422823905945,-28.341685116869495
1461792,2130,48.036540508270264,-70.33868342994
1525122,2208,50.16251993179321,-8.962261008284983
1630066,2335,53.57870864868164,-34.37196345244449
1717270,2444,56.48647689819336,-7.851673677268446
1824368,2576,60.00430703163147,24.213426187396152
1931844,2704,63.56002902984619,-15.52979162646991
2033038,2822,66.86816024780273,7.530127998944769
2128274,2939,69.96256041526794,40.88522880302457
2235080,3070,73.38354897499084,-32.575956003637586
2306692,3158,75.7760419845581,16.484138256768343
2424036,3300,79.59217095375061,31.137719502569688
2546216,3452,83.59632706642151,25.353798524124464
2643076,3562,86.86569213867188,-24.786790933837047
2730226,3676,89.67408895492554,-26.9552981768092
2826692,3802,92.80270147323608,32.98072992918062
2947148,3957,96.67833757400513,9.030954683033361
3046876,4091,99.8784716129303,7.249632243795586
3123680,4190,102.41998839378357,43.84997226919999
3224374,4312,105.72002100944519,26.79093640963628
3328344,4438,109.06943106651306,-13.32920163643028
3387976,4531,110.8154833316803,77.64196334387506
3476270,4658,113.51642179489136,18.778961343133638
3572036,4778,116.65173768997192,78.2262875299543
3697966,4952,120.45368361473083,49.75617453530177
3822856,5144,124.15660238265991,56.36779334177375
3902490,5292,126.37831854820251,46.277156654919466
3959674,5390,128.03626918792725,46.59504506678992
4046866,5522,130.5950710773468,137.31159247531554
