Steps,Episodes,Time,Reward
0,0,1.1920928955078125e-06,-535.1001698444967
5636,26,0.4004354476928711,-855.2181705049459
32534,153,1.0014657974243164,-1030.239236356564
73378,293,2.064889430999756,-1052.6462845821827
216752,493,6.755791187286377,-135.0475259682999
361938,640,11.739403247833252,-87.56939620941179
480874,768,15.77210521697998,-77.66229209470633
580668,884,19.235874891281128,-83.58349362048577
692824,1054,22.877764463424683,-130.3196426904498
768704,1172,25.29909324645996,-106.20870808843101
869044,1307,28.54878878593445,-123.50198766672915
970100,1459,31.90815758705139,-101.9090390287058
1041580,1571,34.12234663963318,-105.68650204026999
1155186,1739,37.77168536186218,-109.56854159177355
1227426,1845,40.10658931732178,-94.48277655496997
1301312,1941,42.528477907180786,-55.414087587398015
1431540,2122,46.79674005508423,-87.27565514588407
1503200,2239,49.032779693603516,-77.95149776851763
1597788,2374,52.12829327583313,-65.02238752542533
1684382,2492,54.98766779899597,-91.4418777425102
1772020,2614,57.783514976501465,-57.47630074540872
1848420,2716,60.215277910232544,-23.66829064879829
1967316,2855,64.20099234580994,-25.98121148212156
2067956,2975,67.60702395439148,-16.35543347443204
2191682,3123,71.66050314903259,5.941539652292012
2310522,3264,75.67253756523132,-21.883423220823158
2399272,3378,78.62701463699341,-51.713335885601325
2471364,3462,81.15847110748291,9.776482726047266
2597100,3618,85.32074308395386,-6.298842140883511
2725580,3785,89.51054978370667,-44.516166996695716
2830616,3914,93.06396484375,8.119221280970333
2948182,4053,96.92656183242798,-20.285747572350992
3037742,4162,99.86366415023804,5.669589119004485
3147218,4311,103.38140559196472,49.84626400984134
3267534,4461,107.34287714958191,36.05317640877744
3383019,4633,110.9595046043396,-11.407672685184227
3463244,4734,113.57329368591309,31.21997378143547
3592720,4902,117.77035164833069,9.514264688191583
3700004,5044,121.28900480270386,-0.5493149550879192
3803764,5172,124.68087577819824,34.082060412232146
3934140,5337,128.84131526947021,36.43205873848639
4016818,5451,131.38050198554993,38.383431491790866
4100132,5565,134.0518319606781,90.27784143963132
4209990,5708,137.56217312812805,14.762855329503605
4302252,5830,140.49621105194092,38.43591617323525
4378642,5931,142.91946363449097,-7.970559860626231
4437354,6009,144.79614400863647,111.39777565427698
4520354,6121,147.34128332138062,130.75423615342783
4604138,6238,149.93440055847168,96.97794591034685
4686958,6351,152.4144322872162,22.244262944826808
4793560,6484,155.88100957870483,26.909660191510348
4912194,6641,159.52754020690918,30.9171027457229
5015706,6790,162.6110532283783,90.03704759696845
5127976,6965,165.9717080593109,90.88291523542125
5182076,7058,167.56127047538757,24.713253629385083
5285018,7211,170.79918313026428,67.48434865223139
5357366,7335,172.8903238773346,83.95289130208127
5458574,7479,175.93741750717163,87.48099853304296
5552580,7631,178.69915127754211,54.46800294209466
5656012,7770,181.91354703903198,85.01071867400871
5793746,7969,186.17542004585266,121.47945950963336
5901066,8131,189.4163680076599,51.52174275942692
5949482,8203,190.9148576259613,150.3507435729179
6057062,8371,194.22277164459229,30.153293601884407
6180496,8551,198.0807225704193,158.42232821187628
6241190,8640,199.93876838684082,62.75763817386236
6348488,8795,203.27612233161926,-8.119261707231525
6455990,8954,206.58964276313782,80.32521757889944
6559092,9098,209.76430916786194,76.9502192740184
6618616,9195,211.49617648124695,-1.6867419638695993
6679360,9290,213.23744440078735,116.8001974572907
6772144,9434,215.95222902297974,107.45760844910585
6869748,9590,218.7701015472412,71.07315066851825
7003234,9781,222.76431131362915,135.22202985131221
7116424,9970,226.0117244720459,187.9417008896508
7197828,10098,228.42407131195068,203.61410848727365
7270464,10226,230.49858713150024,135.83283408373646
7354747,10379,232.90130424499512,195.65924623625557
7465494,10577,236.03291153907776,148.1727798805293
7531168,10676,237.93763518333435,134.2458027401844
7611744,10793,240.37311959266663,138.8118088114596
7727214,10983,243.70094275474548,53.905929782363884
7872580,11208,247.99949193000793,100.23454236879901
7969200,11368,250.8428885936737,120.16767436789232
8077946,11538,254.03098726272583,160.35869221281524
8181028,11711,257.0002362728119,170.28796688532688
8272086,11847,259.6764943599701,181.73223408073994
8369900,11999,262.57714581489563,112.83439352846077
8432162,12103,264.3734321594238,170.50274271901995
8531128,12260,267.2593643665314,165.51109556122415
8611338,12386,269.64031767845154,170.23088779255454
8716904,12543,272.78545117378235,134.63463517414058
8838262,12732,276.3541750907898,93.36991350303622
8944344,12896,279.45056414604187,151.74968678021554
9032326,13038,282.0818557739258,206.43724403270107
9104448,13155,284.2301917076111,118.0094965581479
9205422,13300,287.2944893836975,122.39529381118268
9342512,13511,291.33823823928833,175.71313213980494
9428468,13641,293.8362879753113,91.83504275428743
9534276,13816,296.89344024658203,107.48983835271592
9632298,13957,299.91136622428894,128.08983596149196
9746294,14135,303.1944260597229,107.09748580001262
9852360,14311,306.30433535575867,131.74891804853252
9967978,14495,309.6532492637634,146.80779571153445
10042934,14610,311.87821340560913,177.25996940892992
10136834,14770,314.68122124671936,93.02396396670984
10245246,14966,317.7221324443817,174.6995027640821
10362576,15153,321.1151611804962,188.50180188891397
10445788,15293,323.42981600761414,143.3215481963279
10554420,15461,326.6582486629486,141.0116333813166
10635764,15586,329.0031006336212,172.24836020433108
10733868,15729,332.04371643066406,138.6019811040257
10845370,15911,335.33124828338623,163.46787051803224
10943932,16081,338.1151111125946,239.35562319004157
11005584,16188,339.8204867839813,173.43139994451147
11072904,16300,341.79564785957336,185.99792655647116
11161946,16463,344.32394456863403,227.7287664790887
11230708,16583,346.2654604911804,211.5303164419986
11314708,16720,348.7582712173462,199.32537058211852
11401164,16860,351.24466919898987,194.50561560554786
11497900,17047,353.90576243400574,201.4205701922432
11598268,17207,356.9033122062683,178.26261895250823
11701442,17370,359.950804233551,191.59579376683178
11789096,17531,362.3281123638153,171.09233016063646
11868294,17664,364.61947560310364,246.5050012574071
11939038,17790,366.5840301513672,239.877164184572
12002720,17911,368.3232421875,168.2251895183128
12090404,18070,370.78128004074097,200.60473036844533
12179908,18244,373.16614532470703,247.45765948438262
12246616,18364,375.06536173820496,206.3167355141662
12301392,18465,376.54963779449463,214.91713244878352
12366386,18584,378.33134055137634,235.20817110437105
12433364,18700,380.16498589515686,245.25615211814574
12495242,18804,381.96419501304626,192.3284171418316
12573120,18928,384.2418439388275,194.58701907541146
12650574,19059,386.4950189590454,176.4245146430033
12754736,19216,389.60801124572754,204.76684044817506
12841016,19350,392.1579976081848,134.81923455227098
12953832,19541,395.3786323070526,209.06283856757508
13055018,19709,398.2932918071747,225.6789133665048
13119710,19828,400.1120252609253,203.8517848140544
13217950,19991,402.9269347190857,155.7963132989978
13322132,20182,405.80401492118835,165.34777310471787
13425624,20367,408.74051690101624,172.8886394077185
13507054,20524,410.93605303764343,210.79759011684996
13581860,20660,413.08905148506165,227.56051843523431
13649618,20785,414.9565198421478,204.07759885613805
13734718,20931,417.33739042282104,221.10227850581592
13784354,21034,418.6651270389557,197.51244782295745
13859412,21164,420.806599855423,131.42398302414205
13955716,21350,423.5945076942444,216.46513328931337
