Steps,Episodes,Time,Reward
0,0,1.6689300537109375e-06,-701.4156021724444
14670,67,0.48625802993774414,-822.1833580949148
48950,211,1.3538174629211426,-582.1948975647248
94588,375,2.6185812950134277,-871.4167061066553
165230,516,4.87871789932251,-324.12962490395194
298684,683,9.567923545837402,-209.0049125156982
409212,799,13.546911478042603,-56.54077793933459
529394,920,17.974512100219727,-38.946329244085895
652784,1055,22.319429397583008,-76.60635973906095
759970,1183,25.968671321868896,6.812346551047097
892046,1340,30.518131732940674,34.71935521778884
1041426,1524,35.46405529975891,62.29461371099512
1199790,1740,40.58917593955994,79.52020195673225
1354772,1932,45.584173917770386,87.82490895331462
1472463,2076,49.30937910079956,183.53895751098725
1578956,2213,52.65184783935547,168.4243733301364
1652870,2307,54.949350118637085,179.21779088130592
1735688,2406,57.62554097175598,189.63381321192276
1835876,2540,60.744140625,234.14925768639137
1891832,2603,62.55791902542114,222.9069028226811
1957504,2694,64.58189725875854,208.5556455712662
2038276,2790,67.11454319953918,187.40063502948064
2099948,2860,68.98840308189392,183.5860416923957
2179534,2956,71.54483246803284,169.6569367203377
2295746,3088,75.14504504203796,190.02816616653877
2397742,3210,78.3227174282074,173.61970519235973
2530360,3374,82.43478059768677,164.85695103387644
2629872,3493,85.52168798446655,174.59695670705142
2749246,3638,89.25811767578125,216.60213764428946
2819206,3732,91.40589427947998,176.1178717873932
2925202,3858,94.83686995506287,164.83354733552486
3012880,3967,97.50743794441223,164.83817301367282
3130740,4111,101.18136882781982,138.1352314917472
3263788,4262,105.31524109840393,181.78818161560645
3338220,4345,107.73084926605225,184.18953989054427
3412564,4426,110.11266136169434,206.0964906943709
3507162,4533,113.09735488891602,189.74845048456706
3591540,4634,115.71299982070923,189.20180138948575
3704080,4779,119.23520922660828,221.41806411489966
3761514,4850,121.05039095878601,195.18704030313125
3846893,4967,123.6430253982544,170.54203726258817
3959884,5095,127.24877786636353,249.0909828176773
4005298,5158,128.57811212539673,246.1361684373218
4051852,5215,130.02472972869873,179.74852914439208
4157428,5336,133.38136315345764,187.64870731635872
4250082,5448,136.2268934249878,208.71300052075316
4301826,5508,137.88563203811646,218.39795405495093
4375162,5595,140.1983790397644,215.5488672499781
4452722,5698,142.56334900856018,216.20730961081162
4493322,5749,143.94090032577515,223.77177832069964
4564184,5833,146.04536700248718,180.53322195903755
4640416,5921,148.45334815979004,214.7275905520677
4719656,6015,150.94281697273254,205.48544793263213
4787726,6103,152.96154236793518,201.01469559520567
4889774,6220,156.2191390991211,128.7633167408865
5049168,6428,161.1505959033966,242.146263185601
5097962,6485,162.66105031967163,234.04370251950235
5151386,6553,164.2823679447174,185.90611065458046
5258276,6684,167.6221525669098,167.0853794660419
5355634,6794,170.75847792625427,229.61206867919856
5423440,6873,172.81483697891235,201.79281808125378
5490744,6967,174.88520073890686,194.6003836011294
5563998,7053,177.1702356338501,226.3338639400526
5621036,7120,178.91227555274963,248.06490405832307
5663664,7176,180.2341663837433,223.71061721128754
5728196,7256,182.232435464859,165.44356744106025
5819314,7363,185.07025933265686,207.66123677476043
5913028,7474,188.01940178871155,197.1692973360743
6017690,7603,191.24822282791138,216.82032389307477
6082284,7684,193.19802045822144,232.03082492906887
6153098,7773,195.3621780872345,200.18480695221427
6242240,7880,198.10293316841125,203.6120524084667
6341444,7997,201.2092728614807,189.3685173424121
6450604,8124,204.65181684494019,167.67169636283248
6582408,8290,208.71952605247498,199.2275216514513
6637068,8362,210.4011447429657,219.73025422368946
6699186,8439,212.3438789844513,220.00933934859694
6785408,8545,215.01870322227478,176.28126607500053
6900720,8688,218.54556441307068,201.9029086803667
6987652,8785,221.365385055542,199.7285087242206
7083518,8904,224.25011229515076,192.2078134491235
7174004,9011,227.07828617095947,155.006472964384
7296718,9162,230.85606026649475,196.87181565900187
7413704,9313,234.41440081596375,176.4293214129017
7515996,9432,237.59713792800903,173.4843765966466
7606712,9544,240.36254334449768,207.8765811595852
7689004,9640,242.92590069770813,209.58279326535612
7780954,9759,245.70612001419067,217.16176393232507
7852094,9841,247.9086217880249,182.41876137423736
7954106,9958,251.09073781967163,206.44589437340514
8049256,10071,254.03535914421082,188.54514920241724
8139748,10178,256.82145047187805,206.70014977451973
8196554,10245,258.58037972450256,214.60683425271472
8256796,10314,260.49243330955505,217.62760044075577
8333844,10405,262.8308823108673,157.89251064062051
8448410,10535,266.40966415405273,158.3275524114406
8574032,10682,270.3688385486603,196.45703259666806
8657598,10787,272.8831510543823,187.86237709940892
8737800,10875,275.4600865840912,203.34634030740676
8813572,10963,277.84278202056885,189.4880738509133
8885182,11047,280.0691502094269,182.82420069543736
8977628,11170,282.8791446685791,207.95883143856014
9055538,11265,285.2643072605133,211.44613699939623
9127462,11356,287.50538396835327,209.22305517685217
9203530,11460,289.79129457473755,201.0239519398519
9301042,11590,292.8323862552643,186.65814655178835
9375196,11687,295.07424426078796,186.3230991246704
9481660,11806,298.37840580940247,194.9862338215305
9542554,11882,300.2780587673187,208.5735167774199
9621236,11980,302.6601002216339,192.02523401760715
9700832,12080,305.1071455478668,200.94073623047075
9787272,12185,307.8477466106415,228.54604957398948
9852800,12264,309.84497809410095,238.88062225642392
9902020,12319,311.3743712902069,194.28519405189303
9988030,12424,314.0423219203949,206.7585791650685
10057272,12506,316.1988697052002,213.07222813661906
10136864,12602,318.73449635505676,237.1579482941112
10200086,12673,320.6821701526642,201.13119276012418
10268454,12753,322.84615564346313,179.7339108925892
10363250,12865,325.75086545944214,213.11024992991324
10427776,12951,327.66342210769653,186.40373528749043
10533836,13078,330.9467992782593,191.43055548350233
10596258,13151,332.90901923179626,202.62005275244977
10680440,13247,335.4554352760315,192.60266740771038
10745242,13337,337.5338943004608,169.06713610165974
10842756,13455,340.5199337005615,208.18055408779279
10919048,13545,342.9181730747223,187.72269238031578
11038572,13710,346.52737045288086,169.1811078706365
11160610,13857,350.3173565864563,198.97488476259363
11243112,13975,352.79038190841675,175.38425723542514
11332138,14091,355.54998874664307,176.73364347091584
11426162,14208,358.4434425830841,192.5849879867448
11511482,14310,361.093542098999,186.14893952594312
11612922,14443,364.1283986568451,195.29235919743914
