Steps,Episodes,Time,Reward
0,0,1.1920928955078125e-06,-200.0
4440,10,0.46781158447265625,-200.0
10880,26,0.8976798057556152,-200.0
17230,42,1.3190393447875977,-200.0
23760,58,1.7419514656066895,-200.0
29800,73,2.1664576530456543,-200.0
36210,89,2.5915067195892334,-200.0
42740,105,3.0108413696289062,-200.0
51710,128,3.5315520763397217,-200.0
69920,174,4.527685165405273,-200.0
81200,201,5.207556962966919,-200.0
87910,219,5.631987810134888,-200.0
94390,235,6.0538249015808105,-200.0
100790,251,6.471498489379883,-200.0
107280,267,6.896145582199097,-200.0
125250,312,7.917401313781738,-200.0
143020,356,8.93221640586853,-200.0
160900,401,9.935054779052734,-200.0
178620,445,10.941997051239014,-200.0
196450,490,11.9389488697052,-200.0
214030,534,12.930826902389526,-200.0
231410,577,13.919957160949707,-200.0
249210,622,14.914509534835815,-200.0
258960,646,15.5064218044281,-200.0
272820,681,16.306038856506348,-200.0
279330,697,16.725476026535034,-200.0
285710,713,17.145224809646606,-200.0
292080,729,17.587904453277588,-200.0
298540,745,18.016873121261597,-200.0
305120,762,18.44243049621582,-200.0
322170,804,19.424126863479614,-200.0
339810,848,20.425220727920532,-200.0
348910,871,20.971065521240234,-200.0
355390,887,21.39817762374878,-200.0
362070,904,21.819089651107788,-200.0
368440,920,22.2380154132843,-200.0
374270,934,22.659477472305298,-200.0
380540,950,23.086408853530884,-200.0
386970,966,23.509678840637207,-200.0
393410,982,23.93310308456421,-200.0
399980,999,24.36003541946411,-200.0
405710,1013,24.78067898750305,-200.0
411500,1027,25.20290231704712,-200.0
418030,1044,25.628111839294434,-200.0
423960,1058,26.042840480804443,-200.0
430390,1075,26.46338415145874,-200.0
445570,1113,27.335121393203735,-200.0
462690,1155,28.32964301109314,-200.0
480230,1199,29.324175119400024,-200.0
497480,1242,30.309235095977783,-200.0
515350,1287,31.316429376602173,-200.0
532930,1331,32.31701731681824,-200.0
550270,1374,33.31357216835022,-200.0
567990,1419,34.3085241317749,-200.0
585680,1463,35.319262981414795,-200.0
602960,1506,36.30785584449768,-200.0
620530,1550,37.30731964111328,-200.0
637830,1593,38.29802680015564,-200.0
655260,1636,39.30453109741211,-200.0
672970,1681,40.29843616485596,-200.0
690500,1725,41.29396033287048,-200.0
708240,1770,42.29084396362305,-200.0
725320,1812,43.28565692901611,-200.0
742590,1855,44.27524995803833,-200.0
759860,1898,45.26627159118652,-200.0
775030,1936,46.14227628707886,-200.0
781700,1953,46.568681955337524,-200.0
798780,1995,47.55894708633423,-200.0
816540,2040,48.55953001976013,-200.0
833810,2083,49.54738807678223,-200.0
851330,2127,50.54153823852539,-200.0
868550,2170,51.52722692489624,-200.0
886070,2214,52.52239155769348,-200.0
899840,2248,53.34276986122131,-200.0
917070,2291,54.33111310005188,-200.0
934510,2335,55.31944012641907,-200.0
943460,2357,55.87448525428772,-200.0
960890,2401,56.860801696777344,-200.0
978210,2444,57.859062910079956,-200.0
995470,2487,58.85396599769592,-200.0
1012930,2531,59.84479069709778,-200.0
1030390,2575,60.838029861450195,-200.0
1047690,2618,61.83364415168762,-200.0
1064670,2660,62.81761384010315,-200.0
1082120,2704,63.80925965309143,-200.0
1099340,2747,64.79396462440491,-200.0
1116410,2789,65.78736972808838,-200.0
1133790,2833,66.77134156227112,-200.0
1151310,2877,67.76973724365234,-200.0
1168300,2919,68.75597929954529,-200.0
1182390,2955,69.56185674667358,-200.0
1188530,2970,69.97916054725647,-200.0
1195150,2987,70.40112018585205,-200.0
1200740,3000,70.8210175037384,-200.0
1207410,3017,71.24848699569702,-200.0
1213810,3033,71.67743015289307,-200.0
1220240,3049,72.10559701919556,-200.0
1226710,3066,72.53450179100037,-200.0
1232970,3081,72.9559338092804,-200.0
1250220,3124,73.94913125038147,-200.0
1264360,3160,74.75963807106018,-200.0
1270820,3176,75.18262577056885,-200.0
1284280,3210,75.96562814712524,-200.0
1290750,3226,76.39888739585876,-200.0
1297030,3241,76.82507538795471,-200.0
1314450,3285,77.8124623298645,-200.0
1331520,3327,78.80631971359253,-200.0
1348950,3371,79.79503631591797,-200.0
1366180,3414,80.78457903862,-200.0
1383700,3458,81.78174829483032,-200.0
1400700,3500,82.76682376861572,-200.0
1418120,3544,83.75879788398743,-200.0
1425620,3563,84.22428178787231,-200.0
1433790,3583,84.73910093307495,-200.0
1445050,3611,85.4132170677185,-200.0
1451650,3628,85.85015797615051,-200.0
1457820,3643,86.27042007446289,-200.0
1463800,3658,86.6892364025116,-200.0
1469980,3673,87.11076784133911,-200.0
1476580,3690,87.53270721435547,-200.0
1482990,3706,87.95975756645203,-200.0
1488940,3721,88.38118648529053,-200.0
1495220,3737,88.79908728599548,-200.0
1501440,3752,89.22002983093262,-200.0
1507900,3768,89.64053559303284,-200.0
1514440,3785,90.05779433250427,-200.0
1520360,3799,90.48272490501404,-200.0
1537740,3843,91.4660370349884,-200.0
1554780,3885,92.45512628555298,-200.0
1564480,3910,93.02688145637512,-200.0
1570960,3926,93.44667673110962,-200.0
1577400,3942,93.86909294128418,-200.0
1583710,3958,94.28644275665283,-200.0
1589810,3973,94.70658946037292,-200.0
1596470,3990,95.12379622459412,-200.0
1603120,4007,95.54652237892151,-200.0
1609240,4022,95.96414685249329,-200.0
1622450,4055,96.74081254005432,-200.0
1628940,4071,97.17027735710144,-200.0
1635070,4086,97.58935260772705,-200.0
1652360,4129,98.58285737037659,-200.0
1670020,4174,99.57684302330017,-200.0
1687070,4216,100.56846380233765,-200.0
1704250,4259,101.55181121826172,-200.0
1721730,4303,102.545725107193,-200.0
1738910,4346,103.52872252464294,-200.0
1756190,4389,104.53219199180603,-200.0
1773380,4432,105.517822265625,-200.0
1790790,4476,106.50616931915283,-200.0
1807800,4518,107.49454164505005,-200.0
1825030,4561,108.4839813709259,-200.0
1842440,4605,109.47508668899536,-200.0
1859620,4648,110.46014857292175,-200.0
1876410,4689,111.4452793598175,-200.0
1893850,4733,112.43508076667786,-200.0
1911280,4777,113.42285585403442,-200.0
1928510,4820,114.41215300559998,-200.0
1945480,4862,115.395352602005,-200.0
1962690,4905,116.38192939758301,-200.0
1980360,4950,117.37601709365845,-200.0
1997350,4992,118.3604564666748,-200.0
2007830,5018,118.99619793891907,-200.0
2014100,5034,119.42217421531677,-200.0
2020530,5050,119.84542846679688,-200.0
2027170,5067,120.27063298225403,-200.0
2033520,5083,120.6950159072876,-200.0
2039740,5098,121.11742663383484,-200.0
2046140,5114,121.53505802154541,-200.0
2060060,5148,122.36813855171204,-200.0
2066350,5164,122.7857677936554,-200.0
2072710,5180,123.20246005058289,-200.0
2079480,5197,123.63241028785706,-200.0
2094540,5235,124.497385263443,-200.0
2112240,5280,125.49871730804443,-200.0
2129120,5321,126.49334573745728,-200.0
2146760,5365,127.51588439941406,-200.0
2164020,5408,128.509104013443,-200.0
2181720,5453,129.50578022003174,-200.0
2199200,5497,130.49977469444275,-200.0
2216660,5541,131.49140667915344,-200.0
2233540,5582,132.48907732963562,-200.0
2250830,5625,133.48598885536194,-200.0
2268480,5670,134.47855424880981,-200.0
2285970,5714,135.4757595062256,-200.0
2303240,5757,136.47183632850647,-200.0
2320370,5799,137.47179102897644,-200.0
2338040,5844,138.4648094177246,-200.0
2355270,5887,139.45536947250366,-200.0
2372600,5930,140.45663595199585,-200.0
2390030,5974,141.4477469921112,-200.0
2407140,6016,142.44487404823303,-200.0
2424820,6061,143.43900299072266,-200.0
2441900,6103,144.43358182907104,-200.0
2459370,6147,145.4282672405243,-200.0
2476890,6191,146.42987060546875,-200.0
2494150,6234,147.42488837242126,-200.0
2511410,6277,148.4185357093811,-200.0
2528660,6320,149.41249322891235,-200.0
2546160,6364,150.41280579566956,-200.0
2563370,6407,151.40446853637695,-200.0
2580650,6450,152.40110063552856,-200.0
2598130,6494,153.39848256111145,-200.0
2615470,6537,154.4006688594818,-200.0
2632880,6581,155.3908772468567,-200.0
2650200,6624,156.39110398292542,-200.0
2667480,6667,157.38754415512085,-200.0
2685250,6712,158.3944308757782,-200.0
2702270,6754,159.38777232170105,-200.0
2719760,6798,160.38842797279358,-200.0
2737060,6841,161.3872776031494,-200.0
2745960,6864,161.92838883399963,-200.0
2752320,6880,162.35186910629272,-200.0
2758560,6895,162.77819633483887,-200.0
2765250,6912,163.20543313026428,-200.0
2771110,6926,163.6237599849701,-200.0
2777220,6942,164.04004621505737,-200.0
2782980,6956,164.462495803833,-200.0
2788850,6970,164.88216590881348,-200.0
2795690,6988,165.31080889701843,-200.0
2801810,7003,165.73782968521118,-200.0
2808210,7019,166.15997624397278,-200.0
2814750,7035,166.59203433990479,-200.0
2821170,7051,167.015456199646,-200.0
2828060,7069,167.43943667411804,-200.0
2834290,7084,167.87281322479248,-200.0
2840800,7100,168.3060007095337,-200.0
2847260,7116,168.72840881347656,-200.0
2853900,7133,169.14741826057434,-200.0
2860660,7151,169.57296514511108,-200.0
2866600,7165,170.00316548347473,-200.0
2872910,7181,170.424880027771,-200.0
2879310,7197,170.852924823761,-200.0
2885350,7212,171.27195048332214,-200.0
2891490,7227,171.69965505599976,-200.0
2898020,7244,172.12528157234192,-200.0
2915030,7286,173.11403036117554,-200.0
2932320,7329,174.11053729057312,-200.0
2949650,7373,175.0894627571106,-200.0
2958820,7395,175.6722240447998,-200.0
2965460,7412,176.09611630439758,-200.0
2978780,7445,176.88661432266235,-200.0
2985110,7461,177.31279850006104,-200.0
2991780,7478,177.73365330696106,-200.0
2997730,7493,178.1590371131897,-200.0
3006150,7514,178.683256149292,-200.0
3012420,7530,179.10735368728638,-200.0
3029670,7573,180.10057616233826,-200.0
3046640,7615,181.0864281654358,-200.0
3064150,7659,182.08694291114807,-200.0
3081510,7703,183.07092881202698,-200.0
3091270,7726,183.69308805465698,-200.0
3108850,7771,184.6792562007904,-200.0
3126070,7814,185.66896224021912,-200.0
3135420,7837,186.24928784370422,-200.0
3152680,7880,187.24538111686707,-200.0
3161630,7903,187.77789068222046,-200.0
