Steps,Episodes,Time,Reward
2,0,4.76837158203125e-07,-431.5602161736662
144,0,0.2205810546875,-321.372302024867
2238,5,0.4282200336456299,-1055.5603760841007
22378,97,1.3849034309387207,-832.2572132651385
42516,130,2.725909948348999,-134.02020018863385
118200,209,7.386814594268799,-39.926242504295104
189972,279,12.01178765296936,-86.95646019267956
260526,350,16.495800971984863,-75.34687218511291
327222,418,20.533918142318726,-52.54456960491768
404478,501,25.25676679611206,-37.229502771048345
456046,554,28.45425248146057,-25.896422849573632
523176,626,32.51792097091675,-69.954635805246
577054,687,35.83233594894409,-52.49951081106766
640008,753,39.661837577819824,-52.42226807622637
681822,805,42.12285351753235,-65.88765986029858
738210,880,45.4094443321228,-78.39724063621657
785280,957,48.149405002593994,-83.4969497587671
819742,1000,50.19789934158325,-47.66868600443481
871992,1062,53.30700492858887,-25.975476030812814
920600,1126,56.05210518836975,-61.59721914688451
955452,1165,58.26074433326721,12.801216183974145
1019976,1237,62.11318016052246,31.197891000100306
1065258,1288,64.83344054222107,18.671893563076033
1124718,1350,68.4091866016388,-11.911178218479765
1177526,1408,71.56836795806885,49.752292396193994
1241944,1475,75.48617959022522,36.59405729572868
1298940,1534,78.86431860923767,70.74959972541996
1367752,1617,83.02309894561768,16.36883304259336
1432348,1697,86.69723439216614,29.654736180101715
1502864,1792,90.77693343162537,83.68535492875102
1574570,1881,94.98657655715942,67.42049320078931
1629858,1957,98.16309309005737,83.39294715104145
1671978,2008,100.59235692024231,84.34812689619989
1726118,2073,103.8476550579071,114.11809916527457
1784812,2153,107.11172580718994,97.2922193280898
1835840,2221,110.02610206604004,54.499624472742525
1876012,2283,112.33378958702087,50.91435242026642
1933676,2368,115.68967652320862,75.5300033282781
1994544,2440,119.23135876655579,130.86164880197583
2032074,2494,121.36607098579407,145.7039836849228
2072158,2546,123.6737117767334,43.723523829349695
2111352,2605,125.77149248123169,94.93465287544466
2145488,2662,127.73024296760559,83.78392679825654
2199122,2739,130.74357175827026,107.17641247679202
2229174,2782,132.50297784805298,204.6725098292325
2284848,2863,135.57472324371338,147.12764294301132
2317976,2905,137.46390628814697,167.9857204092499
2377442,2989,140.75128364562988,67.68260914290961
2432516,3066,143.86785435676575,143.56967300150546
2481636,3136,146.56310153007507,151.1512815707099
2522600,3195,148.8334674835205,119.2841214922347
2543240,3229,149.93450689315796,192.5853039504395
2569432,3277,151.33184051513672,177.3531674262216
2614912,3355,153.71051478385925,239.86967421048274
2639262,3403,155.09505987167358,202.6825618683679
2675632,3484,156.93999528884888,143.37858231946433
2744616,3610,160.70182824134827,156.42859595994074
2797748,3702,163.57605624198914,251.0678847979929
2826030,3756,165.10174465179443,220.02099944010533
2843784,3787,166.04514336585999,261.9051559232263
2872918,3835,167.64023971557617,243.46036483770254
2892898,3867,168.76744079589844,257.4510166067806
2919648,3909,170.22543740272522,272.33096107130507
2937422,3936,171.19256043434143,261.9460298598209
2962830,3972,172.7070550918579,213.3658007165684
2996490,4037,174.4119896888733,249.21526040920617
3026936,4096,175.99797177314758,248.5464930039344
3061246,4157,177.79537320137024,240.1809739094768
3089158,4212,179.32140016555786,229.8242506938037
3111580,4253,180.44542264938354,133.54571164990165
3130540,4293,181.3528187274933,246.72747336063236
3142998,4322,182.03157663345337,255.6810932400837
3156970,4349,182.75672721862793,233.62163699543126
3173632,4380,183.64233875274658,210.99204451299428
3216162,4470,185.8424413204193,244.72364451782883
3231464,4497,186.62126088142395,238.29366838189398
3249146,4523,187.64750456809998,238.57879223888568
3274802,4567,189.14508366584778,218.7994027563046
3318402,4656,191.34789752960205,242.78658939207875
3339018,4700,192.37011194229126,233.80092075627107
3357096,4735,193.35765624046326,219.14403372951165
3376376,4771,194.35232520103455,283.78750896841683
3393310,4798,195.25358700752258,224.81706703054087
3416004,4841,196.5838978290558,249.81639179111485
3435126,4880,197.38541054725647,202.34056090980636
