Steps,Episodes,Time,Reward
0,0,0.0,-784.1209898569874
3500,18,0.7878928184509277,-806.1267559477299
14474,76,1.4052410125732422,-739.1500470511222
28170,143,1.948786973953247,-999.9937137142217
47208,234,2.693794012069702,-722.9682355730723
60080,295,3.1944549083709717,-1223.3335011543418
103451,464,4.919839382171631,-2056.516971093656
201594,775,9.070736169815063,-535.3846912383572
275748,951,12.576358318328857,-267.8882432068006
326268,1049,15.22527289390564,-178.08546334343674
398638,1164,19.114868640899658,-114.13679283103917
470390,1264,23.29369020462036,-37.326655066216425
549886,1364,27.9781596660614,-24.972435087025907
631448,1463,32.806243658065796,-8.09672366824637
706896,1549,37.35707092285156,31.319860123279494
777978,1635,41.57379150390625,20.070588368513235
853532,1719,46.16750359535217,48.84065856202649
925268,1798,50.547786235809326,43.49882906736531
996610,1881,54.84928011894226,54.76575447097815
1066162,1963,58.98421931266785,70.50821230861
1137438,2045,63.22687029838562,40.8324212809189
1220862,2136,68.29730653762817,45.46456354355578
1293330,2219,72.62373399734497,67.62745822654156
1373190,2317,77.27628827095032,60.053756504375386
1449538,2406,81.8330991268158,59.19319257562692
1524628,2493,86.34802150726318,43.928937252539164
1610318,2594,91.37956261634827,50.79152272317286
1685510,2690,95.61822438240051,75.98391201642843
1759126,2775,99.96459770202637,79.12348696105849
1843144,2875,104.77572798728943,122.98055079709147
1921286,2967,109.24078392982483,91.14343712025887
1997024,3061,113.60710549354553,75.87211031535921
2084908,3167,118.56982946395874,100.31046047118174
2172014,3276,123.41586661338806,199.48764772005194
2234406,3347,127.04515767097473,185.14090279637202
2288030,3408,130.1887493133545,208.31072434611116
2325990,3461,132.1644639968872,179.29849974072346
2391158,3541,135.75386261940002,141.58115524810222
2451700,3615,139.18967175483704,166.72816421779504
2516240,3694,142.75214266777039,159.6630219536487
2585868,3773,146.79931640625,216.8311990320657
2623694,3823,148.86878085136414,197.0567286793968
2681256,3888,152.21981692314148,239.99285982206092
2715188,3930,154.11574530601501,189.13262063041478
2780930,4009,157.84676480293274,146.81175305900555
2849502,4087,161.74832844734192,201.1693121561726
2899700,4149,164.5378668308258,157.42270945958867
2933976,4187,166.4856560230255,197.46524662773098
2976152,4236,168.89919996261597,226.47269201652585
3023352,4294,171.4084882736206,227.47304768335204
3061322,4340,173.48992013931274,192.78339981962944
3112976,4403,176.33032178878784,212.92725284369254
3155932,4454,178.74685764312744,208.00635016660937
3203486,4513,181.35687589645386,207.3952488111141
3240062,4556,183.4163670539856,197.08092670332366
3281808,4607,185.7461347579956,195.02267079317429
3338734,4677,188.9046859741211,208.4021485373824
3390524,4736,191.8597810268402,214.7739536187452
3427154,4778,193.8524510860443,213.9004641434545
3457052,4814,195.65064120292664,207.6296161275753
3498334,4865,197.91159296035767,210.77631810731492
3545956,4931,200.53357887268066,189.12758968020677
3599438,4998,203.50662660598755,169.78730147871752
3652536,5061,206.51158809661865,200.62315938876674
3701870,5128,209.23430490493774,174.08330784476715
3760638,5197,212.57337284088135,215.24464274762175
3798576,5239,214.81038904190063,228.3252244622692
3831612,5283,216.72028040885925,216.78102928637836
3876646,5337,219.20762658119202,214.83547481502632
3939510,5411,223.0583267211914,237.12189555612213
3976040,5452,225.37612581253052,204.20152059331397
4019044,5503,227.8066246509552,138.53110256824903
4100550,5601,232.31955242156982,201.425485242021
4149372,5663,235.0123496055603,188.16170928832392
4203494,5726,237.9604630470276,219.57381230532823
4251596,5784,240.68716955184937,212.5414135590503
4289474,5824,242.81148719787598,192.5341375509476
4349074,5892,246.16052842140198,202.8619246116475
4394138,5942,248.70472264289856,223.07706717399947
4434080,5984,250.9337604045868,159.01272817831332
4499842,6063,254.6358573436737,232.56253302127521
4538366,6110,256.8010652065277,207.0437286779239
4587624,6163,259.56467294692993,201.07831940530025
4638926,6219,262.43998098373413,199.75000223181095
4701126,6291,265.88476729393005,232.13482567573595
4741046,6335,268.1606788635254,227.53848843149686
4793328,6396,271.11976313591003,198.770720270997
4830046,6440,273.16529154777527,188.59952046518225
4892592,6513,276.6858742237091,203.83916788538932
4945232,6575,279.6369802951813,180.88601399890845
5006372,6645,283.1376163959503,208.4958561399621
5058820,6710,286.15853571891785,187.31765088233703
5126108,6784,289.97931456565857,193.11197753414876
5178270,6846,292.937402009964,249.42069006717406
5211550,6888,294.69869112968445,199.97868086875525
5269574,6960,297.91209602355957,143.6371088160302
5352162,7049,302.7601261138916,178.79733755238425
5419706,7123,306.5190715789795,220.616900994762
5454098,7165,308.40901589393616,212.48064715516767
