Steps,Episodes,Time,Reward
0,0,0.0,-602.5853323621408
298,2,0.2453155517578125,-584.7413534972545
800,4,0.522573709487915,-617.6468321931386
1462,7,0.8078107833862305,-607.0498851984709
2032,9,1.098034381866455,-526.9157220830018
2568,12,1.3393888473510742,-621.1298913994088
3138,15,1.6126580238342285,-613.7624437602269
3758,18,1.8789455890655518,-561.7384983420997
4214,20,2.1232922077178955,-564.9048448686265
4900,24,2.4294726848602295,-1013.195517119538
6146,31,2.995957851409912,-825.355363367403
7436,38,3.604330062866211,-763.8900819106789
8864,46,4.23663854598999,-1236.5399738604874
10692,56,5.120275259017944,-1499.5612159264006
12696,66,6.141543626785278,-831.6932406015607
14088,72,6.808758497238159,-875.9563802848943
15412,79,7.434085369110107,-830.1434386089983
16530,84,8.030490636825562,-509.36044389533026
17406,88,8.416457891464233,-732.4960512981347
18384,93,8.95501708984375,-794.2371020447226
19640,98,9.523496627807617,-787.7331179878369
20770,102,10.033133506774902,-789.1052141276158
21866,107,10.594631671905518,-882.1039221374671
23210,114,11.207990407943726,-1113.1085920566431
24892,121,12.00585651397705,-637.7770794728054
25750,124,12.43670392036438,-982.9009616826394
27156,129,13.131844520568848,-970.8944151472593
28482,135,13.77711820602417,-733.8126838243625
29698,140,14.309693574905396,-925.6465034051013
31044,145,14.999847412109375,-976.7999620108192
32584,153,15.725905418395996,-1145.7860073061895
34304,161,16.564661502838135,-976.2757530286086
35720,168,17.221903324127197,-877.1441333278324
37090,174,17.894105195999146,-1238.8356071592025
39068,181,18.867501735687256,-1444.253204832088
42206,194,20.415361404418945,-1445.8726102609132
44914,204,21.68795657157898,-1224.9496978184704
48268,216,23.344525814056396,-1145.17946587849
50926,225,24.668983221054077,-1139.3058235432322
53856,235,26.07921051979065,-1342.0239720427667
57070,248,27.71383810043335,-823.0407866707174
60212,260,29.2397563457489,-1090.8054616499762
62792,268,30.593136072158813,-901.6946730409676
64930,275,31.6902015209198,-891.7774537759781
68472,285,33.59410834312439,-549.6394422404004
71026,295,34.810853719711304,-668.575570409451
73234,302,35.96576452255249,-623.3053950121894
75538,308,37.16056799888611,-781.5926588667152
76946,311,38.235692739486694,-606.7981265312865
79120,316,39.47138714790344,-726.6140691854856
85256,330,42.93312692642212,-343.83121363571985
93366,351,47.5348174571991,-443.0818807523412
101052,371,51.901137590408325,-281.0394251574927
109494,391,56.77609729766846,-376.35788585372086
116278,406,60.75246071815491,-629.3680302620506
124080,424,65.34717059135437,-698.0753550352046
130218,434,69.37938404083252,-546.6799928632811
133688,440,71.49771761894226,-631.4688755403429
138100,447,74.38000702857971,-499.94446131603826
144910,458,78.92983651161194,-313.1282629149617
149612,464,82.13725709915161,-374.7050629824281
155260,471,86.21933770179749,-319.5892391825456
160580,476,90.60261249542236,-264.46284128572114
167434,484,95.39978003501892,-160.95044128215022
174366,492,100.42932605743408,-489.4370881972333
180296,499,104.55628681182861,-325.13997314716534
186554,506,109.01735377311707,-336.68669650286176
192834,512,113.74969482421875,-243.77612938644256
199784,519,118.6924729347229,-268.5573996802925
206924,528,123.65120887756348,-325.8644615778971
212714,534,127.90881943702698,-284.0810065677211
217792,539,131.71862864494324,-124.90185970048651
224412,546,136.43501234054565,-157.7095165438734
230602,553,141.13144969940186,-79.53676305273123
237028,561,145.82190251350403,-234.76662164305426
242962,567,150.64200901985168,-129.87711557550935
249652,574,155.62667536735535,-132.75809019615346
254792,579,159.7017741203308,-75.32548097274073
261502,586,164.68943285942078,-43.42483543546219
268102,593,169.67509651184082,-79.70128480400066
274192,599,174.30271744728088,0.8644524421279541
280002,605,178.52542209625244,-83.60527253921848
285860,611,183.3634798526764,-81.30429412565135
292078,617,188.17760252952576,-147.98057933629212
296348,622,191.02099633216858,-130.16383467967
301792,628,194.8038773536682,-51.66321393976259
308386,637,199.38761615753174,-172.59454279445464
311542,640,201.58673357963562,-25.20602908644316
318462,647,206.5335009098053,-71.33847531443851
325202,654,211.64582562446594,-80.68720322068489
330552,659,216.06999111175537,-30.48318498020752
336528,665,220.58291935920715,-6.4856140980612285
343378,672,225.68427324295044,-34.54173389133931
349508,678,230.158305644989,-18.653523799414934
356348,685,235.0691692829132,-41.21270248052229
362388,691,239.66786789894104,-48.23176245748531
368328,697,244.1987476348877,3.6397240130783906
374112,703,248.5800278186798,-27.73303493562471
379452,709,252.64914417266846,-15.43070354103888
386038,716,257.4842095375061,-41.234018222873594
392168,722,262.11582016944885,-54.5178737112476
398628,729,266.6716339588165,-42.16997274415057
404438,735,271.32518577575684,-61.69496257519707
410318,742,275.5389139652252,-76.95802099933012
414634,747,278.53789162635803,-71.68765660026318
419144,752,282.275892496109,-20.751830611604813
425124,758,286.893541097641,-35.33256603979929
431500,765,291.6149113178253,-42.846086371018565
438978,774,296.6434600353241,-38.524946419351224
444248,779,300.63079380989075,-64.36126120143419
449558,785,304.33787751197815,1.7844077778153178
455814,792,309.0123734474182,-52.23809304308107
460464,797,312.31055068969727,-72.18805453055155
465664,802,316.18119740486145,-85.36169628892968
470236,807,319.70078229904175,-77.6120252994004
475066,812,323.1126561164856,-89.7145209522507
478432,816,325.68976163864136,-35.89568693389246
482828,821,329.2382695674896,-36.25721362130206
488518,827,333.2445533275604,-41.15760749419407
494944,837,337.3824841976166,-55.26160620029566
499376,842,340.7265393733978,-95.41039428864312
503534,847,343.9758474826813,-42.01872671657368
510150,856,348.36410880088806,-43.281855545189806
514354,861,351.94752383232117,-9.612808624646169
519384,866,355.84709191322327,-39.20444913866205
524992,873,359.4554395675659,-27.4491473588985
531374,880,364.19875168800354,-0.528616300343385
537112,886,368.3057653903961,-51.65794001587257
542072,891,371.8712284564972,-16.513784441093406
547912,898,375.92239117622375,-18.365356340487544
553610,904,380.15706396102905,-2.5972708647823946
558830,909,384.1673367023468,-32.481947453519254
563754,915,387.5662443637848,-32.771563001393204
569540,922,392.04227113723755,-13.013020064178061
575784,929,396.39363169670105,-69.62706165842306
578974,932,399.2270519733429,-40.582058844811705
583850,939,402.40056252479553,-104.56871179457605
588078,943,405.6608419418335,-54.552481918396815
593120,949,409.35894989967346,-5.13884279125362
598746,955,413.7601761817932,-37.9348987445853
603656,960,417.45928144454956,-32.135679082278784
607946,964,421.08059453964233,-30.26513600605581
613956,970,425.55462622642517,-11.935692905986686
619460,976,429.6466805934906,-41.34157633752513
624388,981,433.49837708473206,0.7565380056775529
630570,988,437.7599775791168,-27.94648695019485
635650,993,441.72836232185364,4.526266375643634
641038,1000,445.4065237045288,10.484486985031158
647108,1006,449.9723103046417,-17.73897392874664
651964,1012,453.76217246055603,-11.182479224191534
656892,1017,457.5370743274689,-0.395187704172238
662644,1024,461.8625042438507,8.879744900822086
669176,1031,466.53899455070496,-24.52847036664574
674178,1037,470.06955075263977,-8.718375519150808
679236,1042,474.11871910095215,-24.129781685957504
684372,1048,477.6772005558014,-43.38432222787473
689702,1056,481.09007143974304,-17.69023396163389
694040,1061,484.25161385536194,-7.306522035848879
698992,1066,488.13323044776917,-13.11655081123431
704990,1074,492.0996210575104,-6.099614803789761
709734,1079,495.8605604171753,-4.440431909180795
