Steps,Episodes,Time,Reward
0,0,0.0,-731.5139637361405
1028,5,0.5096368789672852,-660.7437957935747
7144,35,1.1329708099365234,-805.3488457639784
21040,106,1.8181376457214355,-758.3468063158182
34718,174,2.3896090984344482,-829.8841425313618
51252,255,3.128631114959717,-825.3195997966646
67298,329,3.8068182468414307,-877.1338612940319
83020,389,4.521904230117798,-827.6011925944276
116684,510,5.981998443603516,-1065.213368664994
234358,851,11.77949070930481,-252.47616403316056
320600,999,16.651458024978638,-197.43022629829125
378412,1069,20.08826446533203,-107.58370053258227
457518,1157,25.26142644882202,-55.455230088984
541196,1249,30.773681640625,-19.101764927923803
624930,1343,36.629019260406494,18.626505710481048
687526,1414,40.672203540802,10.198147469744601
772592,1510,46.19542956352234,27.366093255112894
856498,1612,51.35861682891846,31.897333643961918
922706,1696,55.236244678497314,39.7617679985513
999192,1786,60.38247895240784,11.244804798380487
1073976,1869,64.97319912910461,31.303200493092355
1150782,1959,69.83220148086548,51.8058717002159
1227834,2050,75.09911322593689,76.22223752010147
1302510,2136,80.03092050552368,69.23155579957725
1378920,2230,84.73633313179016,77.54742121036008
1459404,2336,89.36594915390015,65.5963473479141
1542242,2459,93.94869065284729,61.984766989040864
1625080,2570,98.5543704032898,72.01419702095903
1700110,2662,103.02341556549072,76.6983160937526
1783534,2786,107.82656741142273,77.99807132663456
1869554,2901,112.99474287033081,65.17625655089816
1956266,3011,118.3165066242218,139.77025454010828
2038604,3112,123.33508253097534,101.20263173529696
2137642,3228,129.4357635974884,81.43903735636148
2230564,3331,135.11357641220093,199.43036684382065
2297998,3407,139.37916541099548,186.9279456858805
2363342,3488,143.35453152656555,220.39867100754205
2431080,3569,147.32391357421875,141.3978892473705
2498030,3644,152.06024408340454,181.46464692032185
2570010,3724,156.47443675994873,173.7772467615237
2652354,3818,161.68350219726562,171.5574897381561
2714436,3890,165.62795090675354,131.46496539624528
2792028,3980,170.25856399536133,163.58612138633714
2863706,4067,174.35161542892456,211.70261445034802
2926810,4138,178.21727442741394,202.33447692975696
2986450,4205,182.0320701599121,222.20554187256934
3042638,4271,185.430979013443,214.85264187431872
3081338,4315,187.6679949760437,201.85375183448173
3134336,4376,190.89236903190613,225.9731575780229
3190422,4441,194.08881902694702,208.20883440408346
3263772,4523,198.53392910957336,197.6972583052829
3317916,4580,201.60172200202942,172.6689916498397
3396136,4667,206.19343972206116,217.0842615731197
3443966,4720,208.96901488304138,183.6602953000734
3497058,4785,212.10063767433167,194.47650779495658
3567406,4866,215.9593162536621,175.17686039966597
3620024,4928,219.05204391479492,175.12845874131298
3692108,5011,223.2208914756775,152.04369081006297
3779614,5113,228.3621392250061,175.22355108971584
3842734,5187,232.58284854888916,133.44995269209704
3923698,5288,238.0392529964447,118.79635732959818
4009810,5388,243.82976365089417,213.4133679077764
