Steps,Episodes,Time,Reward
0,0,0.0,-200.0
910,1,0.639289379119873,-200.0
7600,17,1.3773155212402344,-200.0
14890,35,2.132295846939087,-200.0
22370,54,2.9082205295562744,-200.0
29800,73,3.643253803253174,-200.0
37290,92,4.387264013290405,-200.0
44490,110,5.114319086074829,-200.0
52230,130,5.88625431060791,-200.0
59520,148,6.642232179641724,-200.0
66650,166,7.383249998092651,-200.0
73800,184,8.091355562210083,-200.0
81080,202,8.838357210159302,-200.0
88300,220,9.570399284362793,-200.0
95430,238,10.272521257400513,-200.0
102590,256,11.00755500793457,-200.0
109870,274,11.769516706466675,-200.0
117210,292,12.535467863082886,-200.0
124340,310,13.254544258117676,-200.0
131510,328,13.984591484069824,-200.0
138700,346,14.71364140510559,-200.0
146020,364,15.475603103637695,-200.0
153230,382,16.205650568008423,-200.0
160350,400,16.959632873535156,-200.0
167390,418,17.69366979598999,-200.0
174300,435,18.39080500602722,-200.0
181520,453,19.123843908309937,-200.0
188770,471,19.880819082260132,-200.0
195700,488,20.602887392044067,-200.0
202950,506,21.355873584747314,-200.0
210420,525,22.13478994369507,-200.0
217370,542,22.879796743392944,-200.0
224550,560,23.622809886932373,-200.0
231700,578,24.331912517547607,-200.0
238890,596,25.071933031082153,-200.0
246080,614,25.802977561950684,-200.0
253240,632,26.530032873153687,-200.0
260500,650,27.28002667427063,-200.0
267640,668,28.03400993347168,-200.0
274910,686,28.793976306915283,-200.0
282080,704,29.51903748512268,-200.0
288970,721,30.235121965408325,-200.0
296420,740,30.99708366394043,-200.0
303510,758,31.708181619644165,-200.0
310760,776,32.445210218429565,-200.0
317450,792,33.180243730545044,-200.0
324890,811,33.92525053024292,-200.0
332400,830,34.67823648452759,-200.0
339350,847,35.389334201812744,-200.0
346500,865,36.121376037597656,-200.0
353660,883,36.846436977386475,-200.0
360800,901,37.58446216583252,-200.0
367970,919,38.3214910030365,-200.0
375250,937,39.08145809173584,-200.0
382450,955,39.81848645210266,-200.0
389580,973,40.53157949447632,-200.0
396790,991,41.265615701675415,-200.0
404020,1009,42.02358818054199,-200.0
411170,1027,42.76261115074158,-200.0
418020,1044,43.45974612236023,-200.0
424990,1061,44.20475363731384,-200.0
432720,1081,44.97868323326111,-200.0
439690,1098,45.70972800254822,-200.0
446800,1116,46.41284656524658,-200.0
454110,1134,47.20273399353027,-200.0
461250,1152,47.95571970939636,-200.0
468010,1168,48.677788496017456,-200.0
475010,1186,49.36494994163513,-200.0
482180,1204,50.10197830200195,-200.0
489130,1221,50.84299659729004,-200.0
496250,1239,51.553096771240234,-200.0
503400,1257,52.290125131607056,-200.0
510590,1275,53.020172357559204,-200.0
517800,1293,53.764182567596436,-200.0
524880,1311,54.47328567504883,-200.0
532110,1329,55.225274085998535,-200.0
539360,1347,55.98623824119568,-200.0
546450,1365,56.69035530090332,-200.0
553560,1383,57.40344715118408,-200.0
560670,1401,58.148454666137695,-200.0
567350,1417,58.856560468673706,-200.0
574060,1433,59.57164788246155,-200.0
581970,1454,60.3276252746582,-200.0
589220,1472,61.07961344718933,-200.0
596340,1490,61.802679777145386,-200.0
603310,1507,62.52375102043152,-200.0
610570,1525,63.28471517562866,-200.0
617780,1543,64.02473545074463,-200.0
625010,1561,64.78669714927673,-200.0
632120,1579,65.49779534339905,-200.0
639370,1597,66.25875997543335,-200.0
646660,1615,67.02471089363098,-200.0
654100,1634,67.78268337249756,-200.0
661360,1652,68.5536208152771,-200.0
668550,1670,69.30062294006348,-200.0
675680,1688,70.02269124984741,-200.0
682530,1705,70.72880268096924,-200.0
689640,1723,71.44987368583679,-200.0
696940,1741,72.21383023262024,-200.0
704060,1759,72.94487452507019,-200.0
711270,1777,73.67891097068787,-200.0
718460,1795,74.40696382522583,-200.0
725730,1813,75.18288803100586,-200.0
732840,1831,75.89598035812378,-200.0
740080,1849,76.6529552936554,-200.0
747270,1867,77.42688536643982,-200.0
754390,1885,78.21677255630493,-200.0
761340,1902,78.99169921875,-200.0
768210,1919,79.73570966720581,-200.0
775110,1936,80.49866819381714,-200.0
782340,1954,81.31448602676392,-200.0
789420,1972,82.1013810634613,-200.0
796600,1990,82.8972520828247,-200.0
803770,2008,83.66918730735779,-200.0
810920,2026,84.38527226448059,-200.0
818250,2044,85.16917538642883,-200.0
825450,2062,85.92515277862549,-200.0
832360,2079,86.6372480392456,-200.0
839500,2097,87.3662977218628,-200.0
846750,2115,88.14421701431274,-200.0
853950,2133,88.90717577934265,-200.0
861170,2151,89.65417766571045,-200.0
868390,2169,90.40915822982788,-200.0
875450,2187,91.12125372886658,-200.0
882680,2205,91.8822181224823,-200.0
889910,2223,92.62622737884521,-200.0
897050,2241,93.35228538513184,-200.0
904170,2259,94.07235908508301,-200.0
911330,2277,94.80140972137451,-200.0
918520,2295,95.53544521331787,-200.0
925680,2313,96.30139660835266,-200.0
932930,2331,97.07532620429993,-200.0
939870,2348,97.80637073516846,-200.0
946950,2366,98.53442311286926,-200.0
954140,2384,99.28541445732117,-200.0
961360,2402,100.04637908935547,-200.0
968550,2420,100.79038906097412,-200.0
975730,2438,101.52243065834045,-200.0
982920,2456,102.2823977470398,-200.0
990060,2474,103.01344227790833,-200.0
997290,2492,103.76842284202576,-200.0
1004400,2510,104.48749899864197,-200.0
1011580,2528,105.22951436042786,-200.0
1018860,2546,105.99646258354187,-200.0
1026030,2564,106.74545955657959,-200.0
1033160,2582,107.46453547477722,-200.0
1040010,2599,108.17563319206238,-200.0
1047160,2617,108.93560099601746,-200.0
1054210,2635,109.63473057746887,-200.0
1060680,2650,110.34183931350708,-200.0
1067630,2667,111.07388091087341,-200.0
1074590,2684,111.80592274665833,-200.0
1081770,2702,112.5359697341919,-200.0
1088940,2720,113.27499294281006,-200.0
1096070,2738,113.99805855751038,-200.0
1103230,2756,114.7251136302948,-200.0
1110470,2774,115.48009395599365,-200.0
1117560,2792,116.20415711402893,-200.0
1124660,2810,116.93520188331604,-200.0
1131770,2828,117.6562728881836,-200.0
1139020,2846,118.40427231788635,-200.0
1145840,2863,119.14429259300232,-200.0
1152910,2881,119.84541749954224,-200.0
1160110,2899,120.57646155357361,-200.0
1167350,2917,121.332439661026,-200.0
1174480,2935,122.06847047805786,-200.0
1181710,2953,122.82644295692444,-200.0
1188860,2971,123.54352474212646,-200.0
1196120,2989,124.29152369499207,-200.0
1203410,3007,125.0704402923584,-200.0
1210520,3025,125.78652501106262,-200.0
1217460,3042,126.50360679626465,-200.0
1224710,3060,127.27454447746277,-200.0
1231900,3078,128.0345115661621,-200.0
1239070,3096,128.8004629611969,-200.0
1246180,3114,129.5115602016449,-200.0
1253300,3132,130.23662114143372,-200.0
1260430,3150,130.97165489196777,-200.0
1267540,3168,131.69871020317078,-200.0
1274430,3185,132.41579174995422,-200.0
1281620,3203,133.15980172157288,-200.0
1288750,3221,133.88785409927368,-200.0
1295860,3239,134.5949625968933,-200.0
1302580,3255,135.32002329826355,-200.0
1309570,3272,136.07500338554382,-200.0
1317200,3292,136.83397340774536,-200.0
1324170,3309,137.57199931144714,-200.0
1331630,3328,138.34293699264526,-200.0
1338840,3346,139.12384819984436,-200.0
1345780,3363,139.84392142295837,-200.0
1352740,3380,140.5779583454132,-200.0
1359630,3397,141.3040165901184,-200.0
1366770,3415,142.05899667739868,-200.0
1373930,3433,142.78904390335083,-200.0
1380850,3450,143.51210951805115,-200.0
1388230,3469,144.25412487983704,-200.0
1395180,3486,144.99015545845032,-200.0
1402290,3504,145.70424556732178,-200.0
1409430,3522,146.4432692527771,-200.0
1416610,3540,147.1862816810608,-200.0
1423720,3558,147.91632866859436,-200.0
1430820,3576,148.62144207954407,-200.0
1437650,3593,149.38240694999695,-200.0
1444310,3609,150.09549927711487,-200.0
1451460,3627,150.82355165481567,-200.0
1458670,3645,151.56855869293213,-200.0
1465770,3663,152.3055875301361,-200.0
1472900,3681,153.03363966941833,-200.0
1479770,3698,153.74074864387512,-200.0
1486910,3716,154.46082210540771,-200.0
1494130,3734,155.21081590652466,-200.0
1501280,3752,155.9468469619751,-200.0
1508180,3769,156.6549530029297,-200.0
1515620,3788,157.41990661621094,-200.0
1522810,3806,158.16591095924377,-200.0
1529940,3824,158.8979527950287,-200.0
1537130,3842,159.6888370513916,-200.0
1544440,3860,160.45678281784058,-200.0
1551520,3878,161.17685675621033,-200.0
1558650,3896,161.92086672782898,-200.0
1565200,3911,162.65889286994934,-200.0
1572610,3930,163.4108808040619,-200.0
1579310,3946,164.14591455459595,-200.0
1586420,3964,164.8610019683838,-200.0
1593510,3982,165.58007836341858,-200.0
1600560,4000,166.29516530036926,-200.0
1607850,4018,167.0661039352417,-200.0
1615010,4036,167.79615020751953,-200.0
1622170,4054,168.51722168922424,-200.0
1629330,4072,169.28616499900818,-200.0
1636490,4090,170.0491235256195,-200.0
1643600,4108,170.76820015907288,-200.0
1650760,4126,171.51021528244019,-200.0
1657710,4143,172.23826813697815,-200.0
1664860,4161,172.97429895401,-200.0
1672050,4179,173.70833611488342,-200.0
1679190,4197,174.4443666934967,-200.0
1686140,4214,175.177405834198,-200.0
1693040,4231,175.8994746208191,-200.0
1700240,4249,176.63949465751648,-200.0
1707180,4266,177.38749361038208,-200.0
1714330,4284,178.11654376983643,-200.0
1721390,4302,178.81667113304138,-200.0
1728480,4320,179.56766176223755,-200.0
1735660,4338,180.3346107006073,-200.0
1742850,4356,181.0925829410553,-200.0
1749780,4373,181.8296115398407,-200.0
1756830,4391,182.53173351287842,-200.0
1764140,4409,183.31364178657532,-200.0
1771180,4427,184.0247392654419,-200.0
1778340,4445,184.746808052063,-200.0
1785030,4461,185.4688766002655,-200.0
1792110,4479,186.19493460655212,-200.0
1798740,4495,186.9050350189209,-200.0
1805960,4513,187.64306044578552,-200.0
1813110,4531,188.39006233215332,-200.0
1820220,4549,189.12110686302185,-200.0
1827100,4566,189.8601303100586,-200.0
1834140,4584,190.5602571964264,-200.0
1841300,4602,191.31623482704163,-200.0
1848510,4620,192.07121562957764,-200.0
1855610,4638,192.78730010986328,-200.0
1862760,4656,193.5093686580658,-200.0
1869740,4673,194.24938893318176,-200.0
1876860,4691,194.97046041488647,-200.0
1883780,4708,195.68754196166992,-200.0
1891220,4727,196.45947694778442,-200.0
1898120,4744,197.21046805381775,-200.0
1905280,4762,197.94550204277039,-200.0
1912190,4779,198.65161323547363,-200.0
1919360,4797,199.39063596725464,-200.0
1926040,4813,200.15060353279114,-200.0
1933150,4831,200.86768507957458,-200.0
1940250,4849,201.60670852661133,-200.0
1947430,4867,202.37864351272583,-200.0
1954620,4885,203.11966133117676,-200.0
1961780,4903,203.8586847782135,-200.0
1968440,4919,204.5637981891632,-200.0
1975640,4937,205.31379199028015,-200.0
1983060,4956,206.07475662231445,-200.0
1990330,4974,206.83073472976685,-200.0
1997390,4992,207.53784275054932,-200.0
2004330,5009,208.26290321350098,-200.0
2011430,5027,208.98696660995483,-200.0
2018520,5045,209.71701335906982,-200.0
2025500,5062,210.46800470352173,-200.0
2032730,5080,211.22198748588562,-200.0
