Steps,Episodes,Time,Reward
0,0,0.0,-120.86051559831185
1432,5,1.4042441844940186,-352.3863318490727
5150,25,1.9687347412109375,-1177.1361969983561
17066,86,3.3979108333587646,-897.8344265386384
25262,122,4.578752756118774,-915.7273115730814
33688,157,5.822426080703735,-1315.866761414917
46754,212,7.731320142745972,-772.7346820584619
55478,245,8.900192022323608,-774.1580364385206
74252,312,11.528162240982056,-1160.3361642147513
95782,370,14.894159317016602,-575.5147972266778
131252,431,21.490513801574707,-784.1242737451055
157332,464,26.939936876296997,-284.61619535510704
193490,506,34.42890405654907,-184.76534548201215
226418,539,41.36335515975952,-103.02422271374867
263108,576,49.21634793281555,-113.82848266736546
296348,610,56.19368386268616,-84.13078561586516
328172,643,62.88378834724426,-99.85358121810113
358746,681,69.0373272895813,-86.6130497126425
385230,713,74.33715105056763,-69.00121140781269
419724,750,81.50497674942017,-46.133637104877366
446780,780,86.96237850189209,-39.81009368523698
477754,816,93.26751327514648,-59.3686041393256
511244,857,99.69132924079895,-74.2045756839913
537060,885,105.12080526351929,-73.38803849574279
566416,918,111.27135252952576,-80.36533980624097
593000,949,116.58015203475952,-69.56819470423085
616964,978,121.27658867835999,-89.58230456867302
643902,1009,126.853670835495,-35.951459435064216
682146,1054,134.4094593524933,-61.347127313186306
706898,1083,139.45895218849182,-53.51792706549065
736456,1118,145.25943565368652,-4.819561795416539
768980,1156,151.85978031158447,-24.560074267137033
802032,1200,158.47807621955872,-54.72893506824092
832930,1240,164.45508813858032,-50.23473195765307
864910,1278,170.70038270950317,-88.78673998962311
887498,1303,175.33598232269287,-60.804759805099096
918760,1337,182.047030210495,-89.62483899055667
943560,1365,187.32890105247498,-29.11550028028958
975582,1403,193.9910807609558,-21.443906082914673
1002974,1432,199.7696225643158,-20.173103721205138
1040282,1473,207.42713975906372,-42.88253803816336
1069192,1508,213.61059832572937,-10.383382835684838
1104980,1553,220.90309143066406,-23.710965101732178
1134156,1594,226.580904006958,-20.654411982388034
1165682,1633,232.98676800727844,-39.742558349776026
1190626,1660,238.4322018623352,-26.454908022464963
1222554,1696,245.15820980072021,-43.43156688584756
1248520,1725,250.58768582344055,-53.54670162747993
1281296,1768,257.16309690475464,-28.025937773241942
1308468,1800,262.6709141731262,-4.883541741711314
1342046,1837,269.51859641075134,-26.6312315977524
1376422,1879,276.39619970321655,8.631323806444966
1405766,1910,282.67241072654724,-3.9483680021681535
1438536,1945,289.5799334049225,24.265811840342053
1475296,1986,297.1237542629242,32.32526891564314
1512496,2025,304.74536633491516,63.22657410867199
1550436,2066,312.39191222190857,33.61306832719411
1585646,2104,319.93473529815674,-8.687754429361386
1619798,2147,326.86419916152954,5.654066526838021
1656334,2186,335.1151282787323,13.06460086958391
1693710,2226,344.231742143631,34.416262501186814
1728632,2263,352.6183078289032,9.806220518306738
1761564,2307,359.7183151245117,-0.6897087213821799
1787658,2336,366.20396661758423,31.922838738067743
1825196,2381,375.9449095726013,36.8268607451655
1862904,2419,385.6319968700409,35.77284025876614
1902070,2462,394.95306420326233,9.60398136933947
1935664,2498,402.2704894542694,19.513960903412737
1969248,2533,409.54104137420654,13.832001154159869
2001112,2569,416.49444127082825,-11.297177936730606
2029700,2602,422.37770342826843,34.97132772607648
2066592,2643,430.7383391857147,32.491731940146096
2102534,2685,438.3729166984558,56.883357374512855
2140368,2731,447.02178144454956,-28.518395902026935
2167044,2759,453.92531418800354,9.408956559571138
2201762,2797,461.2467300891876,25.608468493834675
2237736,2840,468.32978320121765,21.051697432671062
2276020,2882,476.0022597312927,-6.210226782086691
2308114,2921,482.4001452922821,11.514907779976202
2348370,2967,490.36184787750244,-1.8694169765616935
2382472,3004,497.0509555339813,13.948342741946302
2410892,3034,502.83248925209045,27.97465961051904
2444204,3069,509.52857780456543,33.785588604225765
2480672,3111,516.4271242618561,24.021001564814593
2511866,3146,522.5297999382019,24.788803477389546
2545012,3185,528.9097337722778,51.44856237898939
2577968,3221,535.6387341022491,39.863848895177895
2612556,3260,542.7626779079437,31.402063777464793
2645884,3295,549.6622214317322,18.135912056505955
2680704,3336,556.5966725349426,17.42735371402967
2711680,3376,562.6135768890381,14.305059588616624
2746444,3417,569.2288815975189,28.081439394158146
2779078,3458,575.6866073608398,30.346271240712184
2810186,3493,581.5638854503632,47.54616181533697
2850042,3539,589.2792475223541,36.00337795821288
2881924,3574,595.8616394996643,38.065384748608494
2918070,3613,602.7821273803711,3.7432769229458067
2948570,3650,608.7740995883942,23.563440010430504
2979770,3684,615.3335528373718,32.57275378800902
3017758,3733,622.6100885868073,17.304848930893158
3048396,3772,628.359708070755,31.089402974831565
3081772,3809,635.0657699108124,55.32503392206577
3119452,3849,642.5298039913177,51.178338859990376
3154690,3885,650.1703650951385,45.431653681481734
3191110,3926,657.1766240596771,55.771180199232674
3226750,3971,664.2008345127106,59.66162895393321
3263494,4010,671.4504425525665,49.856775884253025
3297008,4046,678.2482581138611,57.70876894237837
3334190,4087,685.5158176422119,21.44266742307961
3366624,4128,691.6703548431396,74.36414470486986
3399372,4170,698.0443041324615,56.67434005087402
3434474,4213,704.745379447937,56.27634119541833
3459698,4243,709.6323065757751,70.5743500171898
3495092,4289,716.1768004894257,115.88102860073818
3524142,4328,721.4157862663269,137.82018550724894
3556560,4383,726.8422703742981,87.38776911073923
3582278,4414,731.6155021190643,81.65234397662763
3615368,4460,737.9276177883148,44.27904392798143
3649144,4497,744.5548896789551,52.816639005156844
3685112,4539,751.3965890407562,78.94118624407396
3715434,4574,757.4543843269348,181.78888696300675
3746402,4613,763.0903086662292,135.3296655032511
3772760,4648,767.7039666175842,126.45976040874852
3793554,4684,770.9722249507904,147.68322159601146
3822744,4718,776.2919940948486,170.12335727669952
3857516,4776,781.8241958618164,60.411369625709696
3897152,4830,788.695814371109,161.73858850090977
3924954,4865,793.2855372428894,224.8151209862947
3949064,4902,797.2668874263763,179.49712582245473
3974996,4939,801.5384609699249,163.77839865698647
4009200,4995,806.7674734592438,181.9163674329236
4030120,5036,809.9609308242798,149.83292289702499
4061258,5095,814.8269147872925,197.12367660273517
4085012,5137,818.4572033882141,205.7565098199314
4106216,5172,821.7154877185822,180.75736101250357
4131532,5215,825.7546830177307,154.20215986671323
4151696,5248,828.9042580127716,225.3365487922353
4174938,5288,832.633282661438,115.28954009245349
4190042,5318,834.8932378292084,204.71250626610112
4203448,5345,836.930787563324,207.09271029692317
4230720,5393,841.172441482544,142.366174642859
4258976,5435,845.9696087837219,137.50396644569167
4284908,5482,849.9659187793732,192.55951694058749
4306510,5517,853.367819070816,116.11463414541788
4329206,5560,856.9033615589142,145.98467819334178
4353888,5602,860.9086472988129,176.69526543810144
4375218,5632,864.6745738983154,121.85553811211408
4414848,5706,871.0016493797302,200.42661613534887
4436468,5763,873.8659870624542,148.8278307062546
4455036,5802,876.8500049114227,159.42321562179663
4488316,5846,882.6375234127045,161.2237781533484
4516510,5890,887.184360742569,210.9612527105662
4536910,5921,890.4027519226074,221.7792615342925
4561786,5959,894.4429445266724,192.90151152283775
4591748,6004,899.4864530563354,175.1021863671437
4623088,6058,904.2796316146851,94.43348576592636
4640362,6082,907.3324654102325,171.0372855097987
4665716,6117,911.6030416488647,124.54890351210179
4688970,6153,915.4208290576935,195.81675819716702
4709000,6183,918.6262545585632,206.53060864272766
4732020,6224,922.245573759079,185.81509240388596
4755460,6270,925.7831106185913,174.52794027915533
4780406,6311,929.747505903244,259.89073479539775
4805552,6358,933.3728084564209,143.52097811795892
4827516,6390,936.9193212985992,190.59134870440852
4858548,6437,941.9638271331787,131.34708388029847
4873544,6473,943.9435319900513,139.96442358250846
4893704,6506,947.0402479171753,110.53985294971612
4926492,6563,952.0358850955963,175.95102529496125
4958952,6622,957.0913615226746,91.64906555313237
4995572,6678,963.1740906238556,202.32721696670967
5015154,6710,966.1920185089111,254.07168374955418
5035170,6739,969.469251871109,218.82191143137044
5064758,6792,973.9123663902283,195.83241905414644
5093332,6837,978.6407177448273,199.46504229108078
5119702,6880,982.8364944458008,246.16082374998368
5142732,6915,986.9095993041992,242.67562173914612
5167017,6954,990.8271207809448,254.50566558551873
5189448,6993,994.4803476333618,238.4994220705774
5209256,7027,997.5122377872467,196.67545674263414
5228486,7062,1000.6189272403717,217.61693558623523
5252874,7107,1004.3669011592865,183.10750477258614
5286974,7161,1010.0626654624939,225.12414678196419
5315400,7206,1014.768078327179,212.45773001197182
5335946,7243,1018.0443148612976,251.65578403259232
5362584,7292,1021.9089770317078,240.28843990196702
5386546,7332,1025.7327485084534,222.41464312698184
5414204,7377,1030.181847333908,238.07937890681924
5438580,7414,1033.996642589569,228.516801890532
5463360,7453,1037.8603076934814,270.0214524570848
5486042,7491,1041.3499727249146,264.5380628120355
